start,title,source,region,location,tags,topic,city,priority_score,url
2026-06-22T00:00:00+00:00,"SF Tech Startups, Investors, Innovators Networking with Elevator Pitch",Eventbrite SF Fintech,US,"2351 Mission Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/sf-tech-startups-investors-innovators-networking-with-elevator-pitch-tickets-1989219723742
2026-06-22T00:00:00+00:00,"Tech Connect: Startups, Investors, Professionals Networking San Francisco",Eventbrite SF Fintech,US,"Casements Bar, 2351 Mission Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/tech-connect-startups-investors-professionals-networking-san-francisco-tickets-1989297723040
2026-06-22T00:00:00+00:00,International Workshop on Security in Machine Learning and its Applications (SiMLA) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","ai security, infosec, privacy, risk, security",broad,nyc,11,https://infosec-conferences.com/event/20260622-international-workshop-on-security-in-machine-learning-and/
2026-06-22T00:00:00+00:00,International Workshop on Artificial Intelligence and Industrial IoT Security (AIoTS) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","cyber, cybersecurity, infosec, privacy, risk, security",broad,nyc,9,https://infosec-conferences.com/event/20260622-international-workshop-on-artificial-intelligence-and-industrial-iot/
2026-06-22T00:00:00+00:00,ATL Money Monday Mixer,Eventbrite Atlanta Fintech,US,"504 Fair Street Southwest, Atlanta, GA, US",fintech,fintech,atlanta,8,https://www.eventbrite.com/e/atl-money-monday-mixer-tickets-1983589593872
2026-06-22T00:00:00+00:00,"Chicago Tech Startups, Investors, Innovators Networking with Elevator Pitch",Eventbrite Chicago Fintech,US,"25 South Halsted Street, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/chicago-tech-startups-investors-innovators-networking-with-elevator-pitch-tickets-1989219312512
2026-06-22T00:00:00+00:00,"Tech Connect: Startups, Investors, Professionals Networking Event Chicago",Eventbrite Chicago Fintech,US,"Rye Deli & Drink, 25 South Halsted Street, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/tech-connect-startups-investors-professionals-networking-event-chicago-tickets-1989298002877
2026-06-22T00:00:00+00:00,SecureIT Summit Tampa 2026,InfoSec Conferences,Global,"Tampa, Florida, US","cyber, cybersecurity, infosec, security",broad,other-us,7,https://infosec-conferences.com/event/20260622-secureit-summit-tampa-2026/
2026-06-22T00:00:00+00:00,ACNS Workshop on Intelligent and Secure Computing (ACNS-ISC) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","cyber, cybersecurity, infosec, privacy, security",broad,nyc,5,https://infosec-conferences.com/event/20260622-acns-workshop-on-intelligent-and-secure-computing-acns-isc/
2026-06-22T00:00:00+00:00,International Conference on Applied Cryptography and Network Security (ACNS) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","cyber, cybersecurity, infosec, privacy, security",broad,nyc,5,https://infosec-conferences.com/event/20260622-international-conference-on-applied-cryptography-and-network-security/
2026-06-22T00:00:00+00:00,International Workshop on Critical Infrastructure and Maritime Systems Security (CIMSS) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","compliance, cyber, cybersecurity, infosec, security",broad,nyc,5,https://infosec-conferences.com/event/20260622-international-workshop-on-critical-infrastructure-and-maritime-systems/
2026-06-22T00:00:00+00:00,Artificial Intelligence in Hardware Security (AIHWS) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","infosec, security",broad,nyc,2,https://infosec-conferences.com/event/20260622-artificial-intelligence-in-hardware-security-aihws-2026/
2026-06-22T00:00:00+00:00,IEEE/IFIP International Conference on Dependable Systems and Networks (DSN) 2026,InfoSec Conferences,Global,"Charlotte, North Carolina, US","infosec, security",broad,other-us,2,https://infosec-conferences.com/event/20260622-ieeeifip-international-conference-on-dependable-systems-and-networks/
2026-06-22T17:00:00+00:00,Deep Tech Morning Boost ⏻: Pickleball & Breakfast,Luma SF Discover,Bay Area,"San Francisco, California, US",tech,broad,sf,9,https://luma.com/ph4wpuzn
2026-06-22T19:30:00+00:00,The Global State of Deep Tech,Luma SF Discover,Bay Area,"945 Market Street, San Francisco, California, US",tech,broad,sf,9,https://luma.com/tjz6cxz2
2026-06-23T00:00:00+00:00,HealthTech & MedTech: Healthcare Industry Networking Night SF,Eventbrite SF Fintech,US,"Hawthorn , 46 Geary Street, San Francisco, CA, US","fintech, health, healthcare",health,sf,28,https://www.eventbrite.com/e/healthtech-medtech-healthcare-industry-networking-night-sf-tickets-1989092270526
2026-06-23T00:00:00+00:00,"SF HealthTech, MedTech Startups, Investors, Innovators Networking Event",Eventbrite SF Fintech,US,"46 Geary Street, San Francisco, CA, US","fintech, health",health,sf,20,https://www.eventbrite.com/e/sf-healthtech-medtech-startups-investors-innovators-networking-event-tickets-1989092034821
2026-06-23T00:00:00+00:00,Confidential Computing Summit 2026,InfoSec Conferences,Global,"San Francisco, California, US","compliance, infosec, privacy, security",fintech,sf,12,https://infosec-conferences.com/event/20260623-confidential-computing-summit-2026/
2026-06-23T00:00:00+00:00,Cybersecurity Summit: Pittsburgh,CyberRisk Alliance Events,US,"Pittsburgh, US","ciso, cyber, cybersecurity, risk, security",broad,other-us,11,https://www.cyberriskalliance.com/events
