start,title,source,region,location,tags,topic,city,priority_score,url
2026-07-10T00:00:00+00:00,"San Francisco Healthcare, Pharma & Business Networking Event",Eventbrite SF Healthcare,US,"3089 16th Street, San Francisco, CA, US","health, healthcare",health,sf,20,https://www.eventbrite.ca/e/san-francisco-healthcare-pharma-business-networking-event-tickets-1991014623335
2026-07-15T00:00:00+00:00,Healthcare and Business Networking | Elevating Your Potential - SF,Eventbrite SF Healthcare,US,"1268 Grant Avenue, San Francisco, CA, US","health, healthcare",health,sf,20,https://www.eventbrite.com/e/healthcare-and-business-networking-elevating-your-potential-sf-tickets-1987336116823
2026-07-27T00:00:00+00:00,"MedTech, HealthTech Startups, Investors, Innovators Networking Event SF",Eventbrite SF Fintech,US,"Noc Noc, 557 Haight Street, San Francisco, CA, US","fintech, health",health,sf,20,https://www.eventbrite.com/e/medtech-healthtech-startups-investors-innovators-networking-event-sf-tickets-1992347079748
2026-07-27T00:00:00+00:00,"SF HealthTech, MedTech Startups, Investors, Innovators Networking Event",Eventbrite SF Fintech,US,"557 Haight Street, San Francisco, CA, US","fintech, health",health,sf,20,https://www.eventbrite.com/e/sf-healthtech-medtech-startups-investors-innovators-networking-event-tickets-1992347135916
2026-08-03T00:00:00+00:00,"Health, Fitness, Beauty & Wellness Business Networking Mixer SF",Eventbrite SF Fintech,US,"Casements Bar, 2351 Mission Street, San Francisco, CA, US","fintech, health",health,sf,20,https://www.eventbrite.com/e/health-fitness-beauty-wellness-business-networking-mixer-sf-tickets-1992481516853
2026-07-07T00:00:00+00:00,SF Women in Tech: Founders & Professionals Networking Night,Eventbrite SF Fintech,US,"1160 Polk Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/sf-women-in-tech-founders-professionals-networking-night-tickets-1990781858128
2026-07-08T00:00:00+00:00,Startup Tech & AI Networking in San Francisco,Eventbrite SF Fintech,US,"579 Howard Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/startup-tech-ai-networking-in-san-francisco-tickets-1992503678138
2026-07-13T00:00:00+00:00,"SF Tech Startups, Investors, Experts Networking & Pitch Event",Eventbrite SF Fintech,US,"557 Haight Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/sf-tech-startups-investors-experts-networking-pitch-event-tickets-1991191481322
2026-07-13T00:00:00+00:00,"Tech Connect: Networking for Tech Startups, Investors, Professionals SF",Eventbrite SF Fintech,US,"Noc Noc, 557 Haight Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/tech-connect-networking-for-tech-startups-investors-professionals-sf-tickets-1991200091074
2026-07-14T00:00:00+00:00,"BioTech, MedTech, Pharma Networking & Pitch Event SF",Eventbrite SF Fintech,US,"Hawthorn , 46 Geary Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/biotech-medtech-pharma-networking-pitch-event-sf-tickets-1991270256942
2026-07-14T00:00:00+00:00,"SF BioTech, Pharma, MedTech Networking & Pitch Mixer",Eventbrite SF Fintech,US,"46 Geary Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/sf-biotech-pharma-medtech-networking-pitch-mixer-tickets-1991270240894
2026-07-28T00:00:00+00:00,"Tech Connect: Networking for Tech Startups, Investors, Professionals SF",Eventbrite SF Fintech,US,"Hawthorn , 46 Geary Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/tech-connect-networking-for-tech-startups-investors-professionals-sf-tickets-1992307102174
2026-07-29T00:00:00+00:00,Tech Startup Networking San Francisco Series A Venture Capital Event,Eventbrite SF Fintech,US,"San Francisco, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.co.uk/e/tech-startup-networking-san-francisco-series-a-venture-capital-event-tickets-1985173696967
2026-07-31T00:00:00+00:00,Tech Roast SF: Comedians Roast Techies,Eventbrite SF Fintech,US,"401 Van Ness Avenue, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/tech-roast-sf-comedians-roast-techies-tickets-1992775092947
